"DHB","Population","Full_IM","Rate","group","breakdown","from_file","until_month","until_year","until_month_n","until_year_n"
"West Coast",97,72,0.742268,"Total","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Whanganui",186,135,0.725806,"Total","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"National",14336,11098,0.774135,"Total","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Auckland",398,335,0.841709,"NZE","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Bay of Plenty",257,190,0.7393,"NZE","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Canterbury",780,691,0.885897,"NZE","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Capital & Coast",352,307,0.872159,"NZE","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Counties Manukau",312,251,0.804487,"NZE","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Hawkes Bay",171,143,0.836257,"NZE","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Hutt Valley",188,163,0.867021,"NZE","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Lakes",102,90,0.882353,"NZE","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Midcentral",220,186,0.845455,"NZE","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Nelson Marlborough",214,183,0.85514,"NZE","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Northland",164,125,0.762195,"NZE","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"South Canterbury",114,96,0.842105,"NZE","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Southern",525,448,0.853333,"NZE","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Tairawhiti",51,46,0.901961,"NZE","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Taranaki",208,168,0.807692,"NZE","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Waikato",488,378,0.77459,"NZE","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Wairarapa",59,52,0.881356,"NZE","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Waitemata",636,499,0.784591,"NZE","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"West Coast",52,40,0.769231,"NZE","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Whanganui",76,68,0.894737,"NZE","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"National",5367,4459,0.830818,"NZE","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Auckland",197,133,0.675127,"Maori","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Bay of Plenty",287,162,0.56446,"Maori","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Canterbury",212,151,0.712264,"Maori","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Capital & Coast",154,122,0.792208,"Maori","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Counties Manukau",516,275,0.532946,"Maori","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Hawkes Bay",235,159,0.676596,"Maori","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Hutt Valley",133,101,0.759398,"Maori","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Lakes",188,130,0.691489,"Maori","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Midcentral",173,132,0.763006,"Maori","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Nelson Marlborough",80,57,0.7125,"Maori","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Northland",323,207,0.640867,"Maori","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"South Canterbury",24,19,0.791667,"Maori","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Southern",140,112,0.8,"Maori","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Tairawhiti",115,60,0.521739,"Maori","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Taranaki",112,69,0.616071,"Maori","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Waikato",498,277,0.556225,"Maori","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Wairarapa",35,32,0.914286,"Maori","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Waitemata",287,169,0.58885,"Maori","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"West Coast",22,18,0.818182,"Maori","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Whanganui",89,55,0.617978,"Maori","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"National",3820,2440,0.638743,"Maori","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Auckland",267,203,0.7603,"Pacific","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Bay of Plenty",15,10,0.666667,"Pacific","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Canterbury",73,60,0.821918,"Pacific","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Capital & Coast",92,79,0.858696,"Pacific","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Counties Manukau",698,505,0.723496,"Pacific","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Hawkes Bay",26,21,0.807692,"Pacific","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Hutt Valley",57,43,0.754386,"Pacific","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Lakes",NA,NA,0.875,"Pacific","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Midcentral",25,22,0.88,"Pacific","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Nelson Marlborough",NA,NA,0.571429,"Pacific","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Northland",12,NA,0.75,"Pacific","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"South Canterbury",NA,NA,1,"Pacific","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Southern",33,22,0.666667,"Pacific","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Tairawhiti",NA,NA,0.8,"Pacific","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Taranaki",NA,NA,1,"Pacific","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Waikato",49,34,0.693878,"Pacific","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Wairarapa",NA,NA,1,"Pacific","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Waitemata",204,144,0.705882,"Pacific","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"West Coast",NA,NA,0.666667,"Pacific","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Whanganui",NA,NA,0.333333,"Pacific","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"National",1585,1178,0.743218,"Pacific","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Auckland",433,385,0.889145,"Asian","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Bay of Plenty",56,49,0.875,"Asian","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Canterbury",163,155,0.95092,"Asian","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Capital & Coast",132,120,0.909091,"Asian","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Counties Manukau",358,318,0.888268,"Asian","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Hawkes Bay",30,29,0.966667,"Asian","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Hutt Valley",57,53,0.929825,"Asian","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Lakes",16,13,0.8125,"Asian","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Midcentral",36,34,0.944444,"Asian","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Nelson Marlborough",21,21,1,"Asian","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Northland",15,12,0.8,"Asian","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"South Canterbury",NA,NA,1,"Asian","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Southern",52,49,0.942308,"Asian","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Tairawhiti",NA,NA,0.8,"Asian","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Taranaki",23,18,0.782609,"Asian","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Waikato",105,87,0.828571,"Asian","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Wairarapa",NA,NA,1,"Asian","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Waitemata",381,348,0.913386,"Asian","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"West Coast",NA,NA,1,"Asian","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Whanganui",NA,NA,1,"Asian","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"National",1900,1712,0.901053,"Asian","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Auckland",197,160,0.812183,"Other","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Bay of Plenty",70,48,0.685714,"Other","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Canterbury",233,199,0.854077,"Other","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Capital & Coast",189,162,0.857143,"Other","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Counties Manukau",156,125,0.801282,"Other","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Hawkes Bay",31,29,0.935484,"Other","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Hutt Valley",46,40,0.869565,"Other","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Lakes",18,15,0.833333,"Other","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Midcentral",41,29,0.707317,"Other","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Nelson Marlborough",43,39,0.906977,"Other","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Northland",24,18,0.75,"Other","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"South Canterbury",NA,NA,0.666667,"Other","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Southern",110,86,0.781818,"Other","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Tairawhiti",NA,NA,0.285714,"Other","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Taranaki",32,21,0.65625,"Other","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Waikato",131,89,0.679389,"Other","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Wairarapa",NA,NA,0.8,"Other","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Waitemata",297,226,0.760943,"Other","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"West Coast",15,NA,0.466667,"Other","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Whanganui",13,NA,0.461538,"Other","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"National",1664,1309,0.786659,"Other","ethnic","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Auckland",204,175,0.857843,"Total","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Bay of Plenty",25,19,0.76,"Total","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Canterbury",297,257,0.86532,"Total","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Capital & Coast",275,250,0.909091,"Total","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Counties Manukau",151,120,0.794702,"Total","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Hawkes Bay",52,42,0.807692,"Total","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Hutt Valley",103,87,0.84466,"Total","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Lakes",33,29,0.878788,"Total","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Midcentral",50,42,0.84,"Total","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Nelson Marlborough",44,36,0.818182,"Total","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Northland",26,20,0.769231,"Total","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"South Canterbury",26,19,0.730769,"Total","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Southern",185,147,0.794595,"Total","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Tairawhiti",15,12,0.8,"Total","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Taranaki",49,37,0.755102,"Total","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Waikato",181,136,0.751381,"Total","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Wairarapa",15,12,0.8,"Total","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Waitemata",293,236,0.805461,"Total","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"West Coast",11,10,0.909091,"Total","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Whanganui",NA,NA,0.6,"Total","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"National",2040,1689,0.827941,"Total","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Auckland",241,203,0.842324,"NZE","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Bay of Plenty",105,80,0.761905,"NZE","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Canterbury",312,282,0.903846,"NZE","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Capital & Coast",179,147,0.821229,"NZE","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Counties Manukau",211,178,0.843602,"NZE","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Hawkes Bay",45,42,0.933333,"NZE","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Hutt Valley",64,51,0.796875,"NZE","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Lakes",31,27,0.870968,"NZE","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Midcentral",79,68,0.860759,"NZE","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Nelson Marlborough",83,71,0.855422,"NZE","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Northland",53,40,0.754717,"NZE","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"South Canterbury",31,28,0.903226,"NZE","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Southern",206,173,0.839806,"NZE","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Tairawhiti",NA,NA,0.625,"NZE","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Taranaki",55,43,0.781818,"NZE","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Waikato",202,150,0.742574,"NZE","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Wairarapa",22,22,1,"NZE","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Waitemata",334,256,0.766467,"NZE","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"West Coast",NA,NA,0.857143,"NZE","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Whanganui",22,14,0.636364,"NZE","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"National",2290,1886,0.823581,"NZE","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Auckland",285,235,0.824561,"Maori","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Bay of Plenty",120,86,0.716667,"Maori","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Canterbury",329,279,0.848024,"Maori","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Capital & Coast",132,113,0.856061,"Maori","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Counties Manukau",176,137,0.778409,"Maori","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Hawkes Bay",95,74,0.778947,"Maori","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Hutt Valley",84,75,0.892857,"Maori","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Lakes",35,28,0.8,"Maori","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Midcentral",102,84,0.823529,"Maori","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Nelson Marlborough",90,76,0.844444,"Maori","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Northland",97,73,0.752577,"Maori","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"South Canterbury",34,30,0.882353,"Maori","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Southern",147,126,0.857143,"Maori","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Tairawhiti",21,12,0.571429,"Maori","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Taranaki",71,53,0.746479,"Maori","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Waikato",167,123,0.736527,"Maori","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Wairarapa",15,14,0.933333,"Maori","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Waitemata",362,291,0.803867,"Maori","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"West Coast",26,22,0.846154,"Maori","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Whanganui",36,30,0.833333,"Maori","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"National",2424,1961,0.808993,"Maori","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Auckland",279,228,0.817204,"Pacific","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Bay of Plenty",125,88,0.704,"Pacific","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Canterbury",253,212,0.837945,"Pacific","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Capital & Coast",107,84,0.785047,"Pacific","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Counties Manukau",285,212,0.74386,"Pacific","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Hawkes Bay",119,90,0.756303,"Pacific","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Hutt Valley",90,77,0.855556,"Pacific","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Lakes",60,44,0.733333,"Pacific","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Midcentral",107,87,0.813084,"Pacific","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Nelson Marlborough",73,60,0.821918,"Pacific","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Northland",96,68,0.708333,"Pacific","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"South Canterbury",40,31,0.775,"Pacific","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Southern",149,123,0.825503,"Pacific","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Tairawhiti",28,25,0.892857,"Pacific","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Taranaki",110,89,0.809091,"Pacific","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Waikato",259,159,0.6139,"Pacific","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Wairarapa",24,21,0.875,"Pacific","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Waitemata",287,214,0.745645,"Pacific","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"West Coast",32,20,0.625,"Pacific","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Whanganui",46,35,0.76087,"Pacific","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"National",2569,1967,0.765668,"Pacific","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Auckland",345,268,0.776812,"Asian","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Bay of Plenty",186,102,0.548387,"Asian","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Canterbury",154,124,0.805195,"Asian","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Capital & Coast",122,103,0.844262,"Asian","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Counties Manukau",679,421,0.620029,"Asian","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Hawkes Bay",158,116,0.734177,"Asian","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Hutt Valley",102,77,0.754902,"Asian","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Lakes",117,82,0.700855,"Asian","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Midcentral",97,73,0.752577,"Asian","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Nelson Marlborough",29,26,0.896552,"Asian","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Northland",189,121,0.640212,"Asian","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"South Canterbury",12,10,0.833333,"Asian","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Southern",103,86,0.834951,"Asian","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Tairawhiti",92,49,0.532609,"Asian","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Taranaki",66,42,0.636364,"Asian","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Waikato",293,176,0.600683,"Asian","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Wairarapa",26,23,0.884615,"Asian","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Waitemata",171,113,0.660819,"Asian","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"West Coast",20,13,0.65,"Asian","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Whanganui",77,53,0.688312,"Asian","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"National",3038,2078,0.684003,"Asian","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Auckland",138,107,0.775362,"Other","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Bay of Plenty",124,84,0.677419,"Other","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Canterbury",116,102,0.87931,"Other","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Capital & Coast",104,93,0.894231,"Other","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Counties Manukau",538,406,0.754647,"Other","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Hawkes Bay",24,17,0.708333,"Other","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Hutt Valley",38,33,0.868421,"Other","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Lakes",56,45,0.803571,"Other","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Midcentral",60,49,0.816667,"Other","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Nelson Marlborough",46,35,0.76087,"Other","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Northland",77,49,0.636364,"Other","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"South Canterbury",NA,NA,1,"Other","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Southern",70,62,0.885714,"Other","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Tairawhiti",19,13,0.684211,"Other","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Taranaki",28,16,0.571429,"Other","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Waikato",169,121,0.715976,"Other","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Wairarapa",NA,NA,0.5,"Other","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Waitemata",358,276,0.77095,"Other","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"West Coast",NA,NA,1,"Other","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Whanganui",0,0,NA,"Other","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"National",1975,1517,0.768101,"Other","deprevation","immunisation-3months-dec-2013.xls","December ","13",12,2013
"Auckland",1633,1226,0.750765,"Total","ethnic","immunisation-3months-dec2009.xls","December ","09",12,2009
"Bay of Plenty",713,396,0.5554,"Total","ethnic","immunisation-3months-dec2009.xls","December ","09",12,2009
"Canterbury",1632,1241,0.760417,"Total","ethnic","immunisation-3months-dec2009.xls","December ","09",12,2009
"Capital & Coast",1013,773,0.76308,"Total","ethnic","immunisation-3months-dec2009.xls","December ","09",12,2009
"Counties Manukau",2222,1493,0.671917,"Total","ethnic","immunisation-3months-dec2009.xls","December ","09",12,2009
"Hawkes Bay",638,433,0.678683,"Total","ethnic","immunisation-3months-dec2009.xls","December ","09",12,2009
"Hutt Valley",534,415,0.777154,"Total","ethnic","immunisation-3months-dec2009.xls","December ","09",12,2009
"Lakes",428,247,0.577103,"Total","ethnic","immunisation-3months-dec2009.xls","December ","09",12,2009
